Timestamp (s),Linear Vel (m/s),Angular Vel (rad/s),Left RPM,Right RPM,Speed (km/h),Torque State
0.106,0.000,0.000,0,0,0.0,SAFE
0.302,0.000,0.000,0,0,0.0,SAFE
0.470,0.000,0.000,0,0,0.0,SAFE
0.658,0.000,0.000,0,0,0.0,SAFE
0.850,0.000,0.000,0,0,0.0,SAFE
1.063,0.000,0.000,0,0,0.0,SAFE
1.250,0.000,0.000,0,0,0.0,SAFE
1.447,0.000,0.000,0,0,0.0,SAFE
1.636,0.000,0.000,0,0,0.0,SAFE
1.823,0.000,0.000,0,0,0.0,SAFE
2.011,0.000,0.000,0,0,0.0,SAFE
2.200,0.000,0.000,0,0,0.0,SAFE
2.388,0.000,0.000,0,0,0.0,SAFE
2.576,0.000,0.000,0,0,0.0,SAFE
2.764,0.000,0.000,0,0,0.0,SAFE
2.952,0.000,0.000,0,0,0.0,SAFE
3.139,0.000,0.000,0,0,0.0,SAFE
3.310,0.000,0.000,0,0,0.0,SAFE
3.503,0.000,0.000,0,0,0.0,SAFE
3.693,0.000,0.000,0,0,0.0,SAFE
3.881,0.000,0.000,0,0,0.0,SAFE
4.064,0.000,0.000,0,0,0.0,SAFE
4.261,0.000,0.000,0,0,0.0,SAFE
4.453,0.000,0.000,0,0,0.0,SAFE
4.622,0.000,0.000,0,0,0.0,SAFE
4.816,0.000,0.000,0,0,0.0,SAFE
4.998,0.000,0.000,0,0,0.0,SAFE
5.190,0.000,0.000,0,0,0.0,SAFE
5.390,0.000,0.000,0,0,0.0,SAFE
5.556,0.000,0.000,0,0,0.0,SAFE
5.745,0.000,0.000,0,0,0.0,SAFE
5.917,0.000,0.000,0,0,0.0,SAFE
6.088,0.000,0.000,0,0,0.0,SAFE
6.253,0.000,0.000,0,0,0.0,SAFE
6.421,0.000,0.000,0,0,0.0,SAFE
6.608,0.000,0.000,0,0,0.0,SAFE
6.806,0.000,0.000,0,0,0.0,SAFE
7.006,0.000,0.000,0,0,0.0,SAFE
7.189,0.000,0.000,0,0,0.0,SAFE
7.356,0.000,0.000,0,0,0.0,SAFE
7.554,0.000,0.000,0,0,0.0,SAFE
7.737,0.000,0.000,0,0,0.0,SAFE
7.920,0.000,0.000,0,0,0.0,SAFE
8.106,0.000,0.000,0,0,0.0,SAFE
8.314,0.000,0.000,0,0,0.0,SAFE
8.501,0.000,0.000,0,0,0.0,SAFE
8.689,0.000,0.000,0,0,0.0,SAFE
8.879,0.000,0.000,0,0,0.0,SAFE
9.067,0.000,0.000,0,0,0.0,SAFE
9.256,0.000,0.000,0,0,0.0,SAFE
9.444,0.000,0.000,0,0,0.0,SAFE
9.644,0.000,0.000,0,0,0.0,SAFE
9.813,0.000,0.000,0,0,0.0,SAFE
10.003,0.000,0.000,0,0,0.0,SAFE
10.192,0.000,0.000,0,0,0.0,SAFE
10.385,0.000,0.000,0,0,0.0,SAFE
10.572,0.000,0.000,0,0,0.0,SAFE
10.760,0.000,0.000,0,0,0.0,SAFE
10.950,1.790,0.000,100,100,3.2,SAFE
11.138,1.790,0.000,100,100,3.2,SAFE
11.326,1.790,0.000,100,100,3.2,SAFE
11.514,1.790,0.000,100,100,3.2,SAFE
11.702,1.790,0.000,100,100,3.2,SAFE
11.890,1.790,0.000,100,100,3.2,SAFE
12.078,1.790,0.000,100,100,3.2,SAFE
12.256,1.790,0.000,100,100,3.2,SAFE
12.439,1.790,0.000,100,100,3.2,SAFE
12.627,1.790,0.000,100,100,3.2,SAFE
12.814,1.790,0.000,100,100,3.2,SAFE
13.003,1.790,0.000,100,100,3.2,SAFE
13.191,1.790,0.000,100,100,3.2,SAFE
13.378,1.790,0.000,100,100,3.2,SAFE
13.569,1.790,0.000,100,100,3.2,SAFE
13.756,-1.790,0.000,-100,-100,3.2,SAFE
13.927,-1.790,0.000,-100,-100,3.2,SAFE
14.117,-1.790,0.000,-100,-100,3.2,SAFE
14.304,-1.790,0.000,-100,-100,3.2,SAFE
14.492,-1.790,0.000,-100,-100,3.2,SAFE
14.682,-1.790,0.000,-100,-100,3.2,SAFE
14.870,-1.790,0.000,-100,-100,3.2,SAFE
15.073,-1.790,0.000,-100,-100,3.2,SAFE
15.262,-1.790,0.000,-100,-100,3.2,SAFE
15.451,-1.790,0.000,-100,-100,3.2,SAFE
15.638,-1.790,0.000,-100,-100,3.2,SAFE
15.826,-1.790,0.000,-100,-100,3.2,SAFE
16.013,-1.790,0.000,-100,-100,3.2,SAFE
16.202,-1.790,0.000,-100,-100,3.2,SAFE
16.394,-1.790,0.000,-100,-100,3.2,SAFE
16.582,-1.790,0.000,-100,-100,3.2,SAFE
16.772,0.900,0.600,71,100,2.8,SAFE
16.964,0.900,0.600,71,100,2.8,SAFE
17.140,0.900,0.600,71,100,2.8,SAFE
17.339,0.900,0.600,71,100,2.8,SAFE
17.541,0.900,0.600,71,100,2.8,SAFE
17.722,0.900,0.600,71,100,2.8,SAFE
17.914,0.900,0.600,71,100,2.8,SAFE
18.082,0.900,0.600,71,100,2.8,SAFE
18.272,0.900,0.600,71,100,2.8,SAFE
18.440,0.900,0.600,71,100,2.8,SAFE
18.612,0.900,0.600,71,100,2.8,SAFE
18.781,0.900,0.600,71,100,2.8,SAFE
18.986,0.900,0.600,71,100,2.8,SAFE
19.156,0.900,0.600,71,100,2.8,SAFE
19.323,0.900,0.600,71,100,2.8,SAFE
19.490,0.900,0.600,71,100,2.8,SAFE
19.700,0.900,0.600,71,100,2.8,SAFE
19.906,0.900,0.600,71,100,2.8,SAFE
20.107,0.900,0.600,71,100,2.8,SAFE
20.299,0.900,0.600,71,100,2.8,SAFE
20.523,0.900,0.600,71,100,2.8,SAFE
20.700,0.900,0.600,71,100,2.8,SAFE
20.873,0.900,0.600,71,100,2.8,SAFE
21.057,0.900,0.600,71,100,2.8,SAFE
21.240,0.900,0.600,71,100,2.8,SAFE
21.439,0.900,0.600,71,100,2.8,SAFE
21.640,0.900,0.600,71,100,2.8,SAFE
21.806,0.900,0.600,71,100,2.8,SAFE
22.006,0.900,0.600,71,100,2.8,SAFE
22.208,0.900,0.600